dataset,downstream_model,strategy,budget,mean_macro_f1,std_macro_f1,n_seeds
yelp_polarity,sentence_transformer_logreg,uncertainty_al,50,0.5498,0.2122,5
yelp_polarity,sentence_transformer_logreg,uncertainty_al,100,0.7682,0.0543,5
yelp_polarity,sentence_transformer_logreg,uncertainty_al,250,0.7043,0.0877,5
yelp_polarity,sentence_transformer_logreg,uncertainty_al,500,0.8047,0.0132,5
yelp_polarity,sentence_transformer_logreg,uncertainty_al,1000,0.8505,0.0004,5
yelp_polarity,tfidf_logreg,diversity_al,50,0.4657,0.0932,5
yelp_polarity,tfidf_logreg,diversity_al,100,0.4823,0.1583,5
yelp_polarity,tfidf_logreg,diversity_al,250,0.6671,0.0792,5
yelp_polarity,tfidf_logreg,diversity_al,500,0.8005,0.0168,5
yelp_polarity,tfidf_logreg,diversity_al,1000,0.8267,0.0047,5
yelp_polarity,tfidf_logreg,hybrid_al,50,0.4329,0.1451,5
yelp_polarity,tfidf_logreg,hybrid_al,100,0.3728,0.0885,5
yelp_polarity,tfidf_logreg,hybrid_al,250,0.4154,0.2094,5
yelp_polarity,tfidf_logreg,hybrid_al,500,0.3873,0.1455,5
yelp_polarity,tfidf_logreg,hybrid_al,1000,0.8677,0.0181,5
yelp_polarity,tfidf_logreg,random,50,0.438,0.1105,5
yelp_polarity,tfidf_logreg,random,100,0.5666,0.1152,5
yelp_polarity,tfidf_logreg,random,250,0.6634,0.0991,5
yelp_polarity,tfidf_logreg,random,500,0.7558,0.0312,5
yelp_polarity,tfidf_logreg,random,1000,0.7937,0.0085,5
yelp_polarity,tfidf_logreg,uncertainty_al,50,0.3984,0.1055,5
yelp_polarity,tfidf_logreg,uncertainty_al,100,0.4725,0.164,5
yelp_polarity,tfidf_logreg,uncertainty_al,250,0.3306,0.0136,5
yelp_polarity,tfidf_logreg,uncertainty_al,500,0.3513,0.0548,5
yelp_polarity,tfidf_logreg,uncertainty_al,1000,0.7544,0.0844,5
