dataset,downstream_model,strategy,budget,mean_macro_f1,std_macro_f1,mean_accuracy,mean_total_cost,n_seeds,cost_scenario
tweet_eval_sentiment,sentence_transformer_logreg,random,50,0.3395,0.0889,0.405,4.76,3,base
tweet_eval_sentiment,sentence_transformer_logreg,uncertainty_al,50,0.3322,0.0024,0.4527,4.86,3,base
tweet_eval_sentiment,sentence_transformer_logreg,random,100,0.3268,0.0703,0.4347,9.52,3,base
tweet_eval_sentiment,sentence_transformer_logreg,hybrid_al,50,0.3151,0.0266,0.4567,4.96,3,base
tweet_eval_sentiment,sentence_transformer_logreg,diversity_al,50,0.3046,0.0659,0.462,4.91,3,base
tweet_eval_sentiment,tfidf_logreg,hybrid_al,1000,0.3627,0.0065,0.4797,99.2,3,base
tweet_eval_sentiment,tfidf_logreg,random,1000,0.3606,0.0015,0.4737,95.2,3,base
tweet_eval_sentiment,tfidf_logreg,diversity_al,1000,0.3598,0.0032,0.4733,98.2,3,base
tweet_eval_sentiment,tfidf_logreg,uncertainty_al,1000,0.3568,0.007,0.4743,97.2,3,base
tweet_eval_sentiment,tfidf_logreg,random,500,0.3168,0.0185,0.4573,47.6,3,base
tweet_eval_sentiment,tfidf_logreg,uncertainty_al,500,0.3165,0.008,0.4537,48.6,3,base
tweet_eval_sentiment,tfidf_logreg,hybrid_al,500,0.3102,0.0144,0.4483,49.6,3,base
tweet_eval_sentiment,tfidf_logreg,random,250,0.304,0.0171,0.4273,23.8,3,base
tweet_eval_sentiment,tfidf_logreg,uncertainty_al,250,0.2937,0.0387,0.434,24.3,3,base
tweet_eval_sentiment,tfidf_logreg,diversity_al,500,0.2827,0.0295,0.4627,49.1,3,base
tweet_eval_sentiment,tfidf_logreg,hybrid_al,250,0.2791,0.0345,0.4457,24.8,3,base
tweet_eval_sentiment,tfidf_logreg,hybrid_al,100,0.2645,0.0209,0.4433,9.92,3,base
tweet_eval_sentiment,tfidf_logreg,hybrid_al,50,0.2351,0.0185,0.44,4.96,3,base
tweet_eval_sentiment,tfidf_logreg,diversity_al,250,0.2336,0.0061,0.4557,24.55,3,base
tweet_eval_sentiment,tfidf_logreg,uncertainty_al,100,0.2332,0.0581,0.3743,9.72,3,base
tweet_eval_sentiment,tfidf_logreg,uncertainty_al,50,0.2313,0.058,0.375,4.86,3,base
tweet_eval_sentiment,tfidf_logreg,random,100,0.2306,0.0431,0.3633,9.52,3,base
tweet_eval_sentiment,tfidf_logreg,diversity_al,100,0.2209,0.0224,0.443,9.82,3,base
tweet_eval_sentiment,tfidf_logreg,diversity_al,50,0.2119,0.0055,0.4503,4.91,3,base
tweet_eval_sentiment,tfidf_logreg,random,50,0.1905,0.0528,0.321,4.76,3,base
twenty_newsgroups,sentence_transformer_logreg,random,1000,0.6354,0.0108,0.6584,95.2,3,base
twenty_newsgroups,sentence_transformer_logreg,diversity_al,1000,0.6273,0.0045,0.6499,98.2,3,base
twenty_newsgroups,sentence_transformer_logreg,hybrid_al,1000,0.6267,0.0043,0.6502,99.2,3,base
twenty_newsgroups,sentence_transformer_logreg,uncertainty_al,1000,0.6227,0.0021,0.6495,97.2,3,base
twenty_newsgroups,sentence_transformer_logreg,random,500,0.5951,0.0264,0.6297,47.6,3,base
twenty_newsgroups,sentence_transformer_logreg,hybrid_al,500,0.5922,0.0138,0.6266,49.6,3,base
twenty_newsgroups,sentence_transformer_logreg,diversity_al,500,0.5635,0.0067,0.591,49.1,3,base
twenty_newsgroups,sentence_transformer_logreg,uncertainty_al,500,0.5352,0.0395,0.5673,48.6,3,base
twenty_newsgroups,sentence_transformer_logreg,random,250,0.4792,0.0182,0.531,23.8,3,base
twenty_newsgroups,sentence_transformer_logreg,hybrid_al,250,0.4296,0.0719,0.4872,24.8,3,base
twenty_newsgroups,sentence_transformer_logreg,diversity_al,250,0.3997,0.0177,0.4563,24.55,3,base
twenty_newsgroups,sentence_transformer_logreg,uncertainty_al,250,0.2761,0.0325,0.3426,24.3,3,base
twenty_newsgroups,sentence_transformer_logreg,random,100,0.2012,0.0053,0.2861,9.52,3,base
twenty_newsgroups,sentence_transformer_logreg,uncertainty_al,100,0.1899,0.0579,0.2727,9.72,3,base
twenty_newsgroups,sentence_transformer_logreg,hybrid_al,100,0.1606,0.0692,0.2425,9.92,3,base
twenty_newsgroups,sentence_transformer_logreg,diversity_al,100,0.1385,0.0228,0.2292,9.82,3,base
twenty_newsgroups,sentence_transformer_logreg,random,50,0.0875,0.0133,0.1552,4.76,3,base
twenty_newsgroups,sentence_transformer_logreg,hybrid_al,50,0.0743,0.0413,0.135,4.96,3,base
twenty_newsgroups,sentence_transformer_logreg,diversity_al,50,0.0725,0.0154,0.1381,4.91,3,base
twenty_newsgroups,sentence_transformer_logreg,uncertainty_al,50,0.0567,0.0208,0.1189,4.86,3,base
twenty_newsgroups,tfidf_logreg,random,1000,0.3466,0.0456,0.3929,95.2,3,base
twenty_newsgroups,tfidf_logreg,hybrid_al,1000,0.3279,0.0043,0.3649,99.2,3,base
twenty_newsgroups,tfidf_logreg,diversity_al,1000,0.3123,0.006,0.358,98.2,3,base
twenty_newsgroups,tfidf_logreg,uncertainty_al,1000,0.2882,0.0391,0.3416,97.2,3,base
twenty_newsgroups,tfidf_logreg,random,500,0.2373,0.039,0.284,47.6,3,base
twenty_newsgroups,tfidf_logreg,hybrid_al,500,0.1391,0.022,0.1802,49.6,3,base
twenty_newsgroups,tfidf_logreg,random,250,0.1044,0.0424,0.1662,23.8,3,base
twenty_newsgroups,tfidf_logreg,uncertainty_al,500,0.1009,0.0646,0.1466,48.6,3,base
twenty_newsgroups,tfidf_logreg,diversity_al,500,0.0998,0.0108,0.1401,49.1,3,base
twenty_newsgroups,tfidf_logreg,diversity_al,250,0.0791,0.0093,0.1271,24.55,3,base
twenty_newsgroups,tfidf_logreg,hybrid_al,250,0.0701,0.0042,0.1189,24.8,3,base
twenty_newsgroups,tfidf_logreg,uncertainty_al,100,0.0373,0.0087,0.0791,9.72,3,base
twenty_newsgroups,tfidf_logreg,random,100,0.0359,0.0211,0.085,9.52,3,base
twenty_newsgroups,tfidf_logreg,diversity_al,100,0.0351,0.015,0.0863,9.82,3,base
twenty_newsgroups,tfidf_logreg,uncertainty_al,250,0.0302,0.0117,0.0952,24.3,3,base
twenty_newsgroups,tfidf_logreg,hybrid_al,100,0.0213,0.0091,0.0654,9.92,3,base
twenty_newsgroups,tfidf_logreg,random,50,0.0129,0.0109,0.0596,4.76,3,base
twenty_newsgroups,tfidf_logreg,uncertainty_al,50,0.0123,0.0073,0.0596,4.86,3,base
twenty_newsgroups,tfidf_logreg,hybrid_al,50,0.0122,0.0004,0.0538,4.96,3,base
twenty_newsgroups,tfidf_logreg,diversity_al,50,0.0117,0.0063,0.0517,4.91,3,base
yelp_polarity,sentence_transformer_logreg,random,1000,0.8542,0.0062,0.855,95.2,3,base
yelp_polarity,sentence_transformer_logreg,diversity_al,500,0.8513,0.0018,0.852,49.1,3,base
yelp_polarity,sentence_transformer_logreg,uncertainty_al,1000,0.8503,0.0004,0.8513,97.2,3,base
yelp_polarity,sentence_transformer_logreg,diversity_al,1000,0.8493,0.0011,0.85,98.2,3,base
yelp_polarity,sentence_transformer_logreg,hybrid_al,1000,0.844,0.0025,0.8443,99.2,3,base
yelp_polarity,sentence_transformer_logreg,random,500,0.8387,0.0094,0.8397,47.6,3,base
yelp_polarity,sentence_transformer_logreg,diversity_al,250,0.8224,0.0089,0.8247,24.55,3,base
yelp_polarity,sentence_transformer_logreg,random,250,0.821,0.0069,0.8227,23.8,3,base
yelp_polarity,sentence_transformer_logreg,uncertainty_al,500,0.8131,0.009,0.8137,48.6,3,base
yelp_polarity,sentence_transformer_logreg,hybrid_al,500,0.8103,0.0055,0.811,49.6,3,base
yelp_polarity,sentence_transformer_logreg,random,100,0.7867,0.018,0.788,9.52,3,base
yelp_polarity,sentence_transformer_logreg,diversity_al,50,0.7754,0.0082,0.7787,4.91,3,base
yelp_polarity,sentence_transformer_logreg,diversity_al,100,0.7739,0.0188,0.7797,9.82,3,base
yelp_polarity,sentence_transformer_logreg,hybrid_al,250,0.7709,0.0502,0.774,24.8,3,base
yelp_polarity,sentence_transformer_logreg,uncertainty_al,100,0.7498,0.0675,0.762,9.72,3,base
yelp_polarity,sentence_transformer_logreg,hybrid_al,100,0.7193,0.062,0.732,9.92,3,base
yelp_polarity,sentence_transformer_logreg,uncertainty_al,250,0.7078,0.1188,0.732,24.3,3,base
yelp_polarity,sentence_transformer_logreg,hybrid_al,50,0.688,0.1211,0.7057,4.96,3,base
yelp_polarity,sentence_transformer_logreg,random,50,0.6601,0.1289,0.6993,4.76,3,base
yelp_polarity,sentence_transformer_logreg,uncertainty_al,50,0.6581,0.2107,0.694,4.86,3,base
yelp_polarity,tfidf_logreg,hybrid_al,1000,0.8598,0.0204,0.86,99.2,3,base
yelp_polarity,tfidf_logreg,diversity_al,1000,0.824,0.0029,0.828,98.2,3,base
yelp_polarity,tfidf_logreg,diversity_al,500,0.7933,0.0168,0.8003,49.1,3,base
yelp_polarity,tfidf_logreg,random,1000,0.7927,0.0078,0.8,95.2,3,base
yelp_polarity,tfidf_logreg,random,500,0.7436,0.0306,0.7587,47.6,3,base
yelp_polarity,tfidf_logreg,uncertainty_al,1000,0.7371,0.0993,0.7603,97.2,3,base
yelp_polarity,tfidf_logreg,random,250,0.64,0.0948,0.688,23.8,3,base
yelp_polarity,tfidf_logreg,diversity_al,250,0.6259,0.0378,0.6743,24.55,3,base
yelp_polarity,tfidf_logreg,random,100,0.5863,0.0486,0.6267,9.52,3,base
yelp_polarity,tfidf_logreg,diversity_al,50,0.4868,0.0888,0.5707,4.91,3,base
yelp_polarity,tfidf_logreg,hybrid_al,250,0.4771,0.271,0.579,24.8,3,base
yelp_polarity,tfidf_logreg,uncertainty_al,100,0.4641,0.2107,0.5727,9.72,3,base
yelp_polarity,tfidf_logreg,diversity_al,100,0.4524,0.1171,0.576,9.82,3,base
yelp_polarity,tfidf_logreg,uncertainty_al,50,0.4337,0.1327,0.5537,4.86,3,base
yelp_polarity,tfidf_logreg,hybrid_al,100,0.3985,0.114,0.5267,9.92,3,base
yelp_polarity,tfidf_logreg,random,50,0.3577,0.0137,0.533,4.76,3,base
yelp_polarity,tfidf_logreg,hybrid_al,50,0.3534,0.0496,0.48,4.96,3,base
yelp_polarity,tfidf_logreg,uncertainty_al,250,0.329,0.0144,0.4907,24.3,3,base
yelp_polarity,tfidf_logreg,uncertainty_al,500,0.3276,0.0067,0.4753,48.6,3,base
yelp_polarity,tfidf_logreg,hybrid_al,500,0.3221,0.0012,0.4727,49.6,3,base
